Site Name,State,Latitude,Longitude,Bat Species,Bat ID,Mass (prior resp),Sex,Age,Date Captured,Forearm Length
Old Dry Wolf,MT,47.016711,-110.498023,Corynorhinus townsendii,COTO31,9.5,Male,Adult,14/02/2017,43.7
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU1,10,Male,Adult,14/02/2017,45.3
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU2,14.9,Male,Adult,14/02/2017,47
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EFFU3,15.4,Male,Adult,14/02/2017,44.8
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU4,14.7,Male,Adult,14/02/2017,47.8
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU5,15.3,Male,Adult,14/02/2017,47.8
Old Dry Wolf,MT,47.016711,-110.498023,Myotis ciliolabrum,MYCI40,6.4,Female,Adult,13/02/2018,35.8
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU8,14.1,Male,Adult,13/02/2018,44.5
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU9,15.8,Male,Adult,13/02/2018,49.9
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU10,17.3,Male,Adult,13/02/2018,47.6
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU11,14.6,Male,Adult,13/02/2018,46.4
Old Dry Wolf,MT,47.016711,-110.498023,Eptesicus fuscus,EPFU12,13.8,Male,Adult,13/02/2018,45.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH1,9.3,Male,Adult,18/09/2017,40.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH2,10.6,Female,Adult,19/09/2017,45.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH3,9,Male,Adult,19/09/2017,41
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH4,9.9,Male,Adult,20/09/2017,42.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH5,8.3,Male,Adult,20/09/2017,39.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH6,10.6,Male,Adult,20/09/2017,43.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH7,7.7,Male,Adult,25/09/2017,41.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH8,7.3,Male,Adult,25/09/2017,42
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH10,8.6,Male,Adult,27/09/2017,41.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH11,9.7,Male,Adult,27/09/2017,40.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH12,9,Male,Adult,27/09/2017,41.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH13,10.9,Male,Adult,27/09/2017,41.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH14,10.4,Male,Adult,27/09/2017,42.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH16,10.6,Male,Adult,28/09/2017,41.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH17,10.3,Male,Adult,28/09/2017,42.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH18,9.8,Male,Adult,28/09/2017,42.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH19,8.8,Female,Adult,28/09/2017,42.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH20,10.1,Male,Adult,28/09/2017,42.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH21,8.7,Male,Young of the Year,28/09/2017,40.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis thysanodes,MYTH22,9.3,Male,Adult,28/09/2017,42.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU1,8.1,Female,Adult,17/02/2017,40
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU2,6.5,Male,Adult,17/02/2017,35.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU3,6.4,Male,Adult,17/02/2017,36.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis volans,MYVO1,7.5,Male,Adult,17/02/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU4,6.4,Male,Adult,17/02/2017,35.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis volans,MYVO2,8.8,Female,Adult,17/02/2017,40.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis volans,MYVO3,8.1,Male,Adult,17/02/2017,37.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU5,6.3,Male,Adult,17/02/2017,36.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU6,6.5,Male,Adult,17/02/2017,38.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU7,6,Male,Adult,17/02/2017,36.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU8,6.3,Female,Adult,17/02/2017,37
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU10,8.4,Female,Adult,17/02/2017,38.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU9,5.5,Female,Adult,17/02/2017,34.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU11,7.9,Female,Adult,17/02/2017,37.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU12,5.6,Male,Adult,17/02/2017,35.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis volans,MYVO4,6.5,Male,Adult,17/02/2017,38
Lick Creek Cave,MT,47.12429,-111.006973,Myotis volans,MYVO5,6.8,Male,Adult,17/02/2017,36.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU13,6.5,Female,Adult,17/02/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU14,8.1,Male,Adult,17/02/2017,39.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU15,6.9,Male,Adult,17/02/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU16,6.1,Male,Adult,17/02/2017,36
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU17,6.4,Female,Adult,17/02/2017,36.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU18,6.5,Male,Adult,17/02/2017,36
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU19,6,Male,Adult,17/02/2017,36.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV2,7.3,Male,Adult,18/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV3,7.4,Female,Adult,18/09/2017,39.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV4,7.1,Male,Adult,18/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV5,6.8,Male,Adult,18/09/2017,38
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV6,8.9,Male,Adult,18/09/2017,38.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV7,6.6,Male,Adult,18/09/2017,38.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV8,6.9,Male,Adult,18/09/2017,39
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV9,7.7,Male,Adult,18/09/2017,39.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV10,7.8,Male,Adult,18/09/2017,39.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV11,7.5,Male,Adult,18/09/2017,38.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV12,6.9,Male,Adult,18/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV13,7.8,Male,Adult,18/09/2017,37.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV14,6.8,Male,Adult,18/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV15,7.8,Male,Adult,18/09/2017,39.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV16,8.3,Male,Adult,18/09/2017,39.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV17,7.1,Male,Adult,18/09/2017,38.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV18,7.5,Male,Adult,18/09/2017,35.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV19,7.8,Male,Adult,18/09/2017,38
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV20,8,Male,Adult,18/09/2017,39
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV21,6.6,Male,Adult,18/09/2017,38.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV22,7.9,Male,Adult,18/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV23,7.5,Male,Adult,18/09/2017,37.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV24,8,Male,Adult,18/09/2017,36.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV25,7.8,Male,Adult,18/09/2017,37
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV26,8.1,Male,Adult,18/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV1,7.3,Male,Adult,18/09/2017,37.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV27,7.5,Male,Adult,18/09/2017,38.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV28,6.2,Male,Adult,18/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV29,8,Male,Adult,18/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV30,7.7,Male,Adult,18/09/2017,38.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV31,6,Male,Adult,18/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV32,6.5,Male,Adult,20/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV33,8,Male,Adult,20/09/2017,35.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV34,6.9,Male,Adult,20/09/2017,37.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV35,6.7,Male,Adult,20/09/2017,35.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV36,6.9,Male,Adult,25/09/2017,38.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV37,7.1,Male,Adult,25/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV38,7.1,Male,Adult,25/09/2017,38.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV39,7.3,Female,Young of the Year,25/09/2017,39.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV40,5.9,Male,Young of the Year,25/09/2017,35.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV41,7.5,Male,Adult,25/09/2017,39.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV42,7,Male,Adult,25/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV43,7.7,Male,Young of the Year,25/09/2017,39.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV44,7.8,Male,Adult,25/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV45,7,Male,Adult,25/09/2017,38.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV46,6.6,Male,Adult,25/09/2017,39.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV47,8.7,Male,Adult,27/09/2017,40.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV48,8,Male,Adult,27/09/2017,37.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV49,8,Male,Adult,27/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV50,7,Male,Adult,27/09/2017,36.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV51,7.2,Male,Adult,27/09/2017,39.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV52,8.2,Male,Adult,27/09/2017,39.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV53,8.1,Male,Adult,27/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV54,7.6,Male,Adult,27/09/2017,38.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV55,7.8,Male,Adult,27/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV56,7.5,Male,Adult,27/09/2017,38
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV57,7.5,Female,Adult,27/09/2017,40.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV58,7.2,Male,Adult,27/09/2017,36.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV59,7.9,Male,Adult,27/09/2017,38
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV60,7.7,Male,Adult,27/09/2017,39
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV61,7,Male,Adult,27/09/2017,37.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV62,6.9,Male,Adult,27/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV63,7.1,Male,Adult,27/09/2017,39.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV64,8,Male,Adult,27/09/2017,39.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV65,7.1,Male,Adult,27/09/2017,37.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV66,8.2,Male,Adult,27/09/2017,39.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV67,7.6,Male,Adult,27/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV68,7.7,Male,Adult,27/09/2017,38.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV69,7.4,Male,Adult,27/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV70,7.7,Male,Adult,27/09/2017,39.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV71,7.6,Male,Adult,27/09/2017,38.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV72,7.4,Male,Adult,27/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV73,7.7,Male,Adult,27/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV74,7.1,Male,Adult,27/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV75,8,Male,Adult,27/09/2017,39.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV76,6.8,Male,Adult,27/09/2017,36.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV79,7.6,Male,Adult,27/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV80,6.6,Male,Adult,27/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV81,6.9,Male,Adult,27/09/2017,36.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV82,7.7,Male,Adult,27/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV83,8,Male,Adult,27/09/2017,38.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV84,7.3,Male,Adult,28/09/2017,36.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV85,8.6,Male,Adult,28/09/2017,40.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV86,7.2,Female,Young of the Year,28/09/2017,39.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV87,7.1,Male,Adult,28/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV88,7.6,Male,Adult,28/09/2017,38.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV89,8.8,Male,Adult,28/09/2017,38.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV90,8.2,Male,Adult,28/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV91,7.8,Male,Adult,28/09/2017,38
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV92,7.6,Male,Adult,28/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV93,7.5,Male,Adult,28/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV94,8.3,Male,Adult,28/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV95,6.4,Male,Adult,28/09/2017,37.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV96,7,Male,Adult,28/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV97,8.4,Male,Adult,28/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV98,8.1,Male,Adult,28/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV99,7.6,Male,Adult,28/09/2017,36.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV100,8.3,Male,Adult,28/09/2017,39.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV101,8,Male,Adult,28/09/2017,37.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV102,7.8,Male,Adult,28/09/2017,37.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV103,7.2,Male,Young of the Year,28/09/2017,36.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV104,8.1,Male,Adult,28/09/2017,39.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV105,7.5,Male,Adult,28/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV106,8.2,Male,Adult,28/09/2017,39.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV107,6.4,Male,Adult,19/09/2017,37.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis evotis,MYEV108,6.9,Male,Adult,19/09/2017,36.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU20,7.2,Male,Young of the Year,18/09/2017,36.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU21,7.2,Male,Adult,18/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU22,7.6,Male,Adult,18/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU23,7.9,Male,Adult,18/09/2017,37.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU24,6.4,Male,Adult,18/09/2017,35.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU25,8.6,Male,Adult,18/09/2017,37.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU26,9.1,Male,Adult,18/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU27,8.6,Male,Adult,20/09/2017,35.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU28,8.1,Male,Adult,20/09/2017,37.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU29,8.7,Male,Adult,20/09/2017,39.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU30,8.7,Male,Adult,20/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU31,7.7,Male,Adult,20/09/2017,37
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU32,10.4,Male,Adult,20/09/2017,39.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU33,6.4,Male,Adult,25/09/2017,35.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU34,8.3,Male,Adult,25/09/2017,35.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU35,8.3,Male,Adult,25/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU36,7.7,Male,Young of the Year,25/09/2017,38.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU37,8.5,Male,Young of the Year,25/09/2017,37.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU38,8.1,Male,Adult,25/09/2017,36.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU39,8.7,Male,Adult,25/09/2017,36.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU40,7.3,Male,Adult,25/09/2017,36.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU41,8.5,Male,Adult,25/09/2017,35.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU42,7.4,Male,Adult,25/09/2017,37.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU43,8.3,Male,Adult,25/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU44,7.9,Male,Adult,25/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU45,8,Male,Adult,25/09/2017,37
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU46,7.3,Male,Young of the Year,27/09/2017,37
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU47,6.4,Female,Adult,27/09/2017,36.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU48,7.4,Male,Young of the Year,27/09/2017,39
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU49,7.7,Male,Adult,27/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU50,7.9,Male,Adult,27/09/2017,36.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU51,6.9,Male,Adult,27/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU52,9.7,Male,Adult,27/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU53,9.7,Male,Adult,27/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU54,8.9,Male,Adult,27/09/2017,36.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU55,7.7,Male,Young of the Year,27/09/2017,26.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU56,7.6,Male,Young of the Year,27/09/2017,35.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU57,9.3,Male,Adult,27/09/2017,37.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU58,9,Male,Adult,27/09/2017,36.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU59,7.7,Male,Adult,27/09/2017,35.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU60,8.6,Male,Adult,27/09/2017,36.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU61,8.6,Male,Adult,28/09/2017,37.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU62,9.4,Male,Adult,28/09/2017,36.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU63,7,Male,Adult,28/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU64,9,Male,Adult,28/09/2017,37.3
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU65,8,Male,Adult,28/09/2017,35.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU66,8.8,Male,Adult,28/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU67,8,Male,Adult,28/09/2017,38.4
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU68,9.6,Male,Adult,28/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU69,8,Male,Adult,28/09/2017,35.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU70,7.1,Male,Adult,28/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU71,8.2,Male,Adult,28/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU72,7.2,Male,Adult,28/09/2017,37.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU73,8.1,Male,Adult,28/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU74,8.9,Male,Adult,28/09/2017,36.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU75,8.7,Male,Adult,28/09/2017,36.7
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU76,9.6,Male,Adult,28/09/2017,39.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU77,7.2,Male,Adult,28/09/2017,37
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU78,8.2,Male,Adult,28/09/2017,38.5
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU79,8.1,Male,Adult,28/09/2017,38.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU80,10.5,Male,Adult,28/09/2017,37.8
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU81,8.1,Male,Adult,28/09/2017,38.6
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU82,9.8,Male,Adult,28/09/2017,38.2
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU83,9.5,Male,Adult,28/09/2017,36.9
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU84,8.2,Male,Adult,28/09/2017,37.1
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU85,8.2,Male,Young of the Year,19/09/2017,37
Lick Creek Cave,MT,47.12429,-111.006973,Myotis lucifugus,MYLU86,7.5,Male,Adult,19/09/2017,36.2
